startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-22T06:45:00.0;2021-05-22T07:00:00.0;0;sedentary;true
2021-05-22T07:00:00.0;2021-05-22T07:15:00.0;0;sedentary;true
2021-05-22T07:15:00.0;2021-05-22T07:30:00.0;0;sedentary;true
2021-05-22T07:30:00.0;2021-05-22T07:45:00.0;0;sedentary;true
2021-05-22T07:45:00.0;2021-05-22T08:00:00.0;0;sedentary;true
2021-05-22T08:00:00.0;2021-05-22T08:15:00.0;0;sedentary;true
2021-05-22T08:15:00.0;2021-05-22T08:30:00.0;0;sedentary;true
2021-05-22T08:30:00.0;2021-05-22T08:45:00.0;0;sedentary;true
2021-05-22T08:45:00.0;2021-05-22T09:00:00.0;0;sedentary;true
2021-05-22T09:00:00.0;2021-05-22T09:15:00.0;15;sedentary;true
2021-05-22T09:15:00.0;2021-05-22T09:30:00.0;138;sedentary;false
2021-05-22T09:30:00.0;2021-05-22T09:45:00.0;78;sedentary;false
2021-05-22T09:45:00.0;2021-05-22T10:00:00.0;0;sedentary;true
2021-05-22T10:00:00.0;2021-05-22T10:15:00.0;0;sedentary;true
2021-05-22T10:15:00.0;2021-05-22T10:30:00.0;0;sedentary;true
2021-05-22T10:30:00.0;2021-05-22T10:45:00.0;464;sedentary;false
2021-05-22T10:45:00.0;2021-05-22T11:00:00.0;1574;active;true
2021-05-22T11:00:00.0;2021-05-22T11:15:00.0;1542;active;true
2021-05-22T11:15:00.0;2021-05-22T11:30:00.0;1080;active;true
2021-05-22T11:30:00.0;2021-05-22T11:45:00.0;752;active;true
2021-05-22T11:45:00.0;2021-05-22T12:00:00.0;22;generic;false
2021-05-22T12:00:00.0;2021-05-22T12:15:00.0;911;active;false
2021-05-22T12:15:00.0;2021-05-22T12:30:00.0;1405;active;true
2021-05-22T12:30:00.0;2021-05-22T12:45:00.0;1223;active;true
2021-05-22T12:45:00.0;2021-05-22T13:00:00.0;1125;active;true
2021-05-22T13:00:00.0;2021-05-22T13:15:00.0;1387;active;true
2021-05-22T13:15:00.0;2021-05-22T13:30:00.0;80;generic;false
2021-05-22T13:30:00.0;2021-05-22T13:45:00.0;1348;active;true
2021-05-22T13:45:00.0;2021-05-22T14:00:00.0;1706;active;false
2021-05-22T14:00:00.0;2021-05-22T14:15:00.0;1468;active;true
2021-05-22T14:15:00.0;2021-05-22T14:30:00.0;1432;active;true
2021-05-22T14:30:00.0;2021-05-22T14:45:00.0;1527;active;true
2021-05-22T14:45:00.0;2021-05-22T15:00:00.0;234;generic;false
2021-05-22T15:00:00.0;2021-05-22T15:15:00.0;1592;active;true
2021-05-22T15:15:00.0;2021-05-22T15:30:00.0;1384;active;true
2021-05-22T15:30:00.0;2021-05-22T15:45:00.0;869;active;true
2021-05-22T15:45:00.0;2021-05-22T16:00:00.0;352;sedentary;false
2021-05-22T16:00:00.0;2021-05-22T16:15:00.0;22;sedentary;true
2021-05-22T16:15:00.0;2021-05-22T16:30:00.0;78;sedentary;true
2021-05-22T16:30:00.0;2021-05-22T16:45:00.0;0;sedentary;true
2021-05-22T16:45:00.0;2021-05-22T17:00:00.0;0;sedentary;true
2021-05-22T17:00:00.0;2021-05-22T17:15:00.0;0;sedentary;true
2021-05-22T17:15:00.0;2021-05-22T17:30:00.0;0;sedentary;true
2021-05-22T17:30:00.0;2021-05-22T17:45:00.0;291;active;false
2021-05-22T17:45:00.0;2021-05-22T18:00:00.0;141;sedentary;false
2021-05-22T18:00:00.0;2021-05-22T18:15:00.0;246;active;false
