id;userProfilePK;calendarDate;sleepTimeSeconds;napTimeSeconds;sleepWindowConfirmed;sleepWindowConfirmationType;sleepStartTimestampGMT;sleepEndTimestampGMT;sleepStartTimestampLocal;sleepEndTimestampLocal;autoSleepStartTimestampGMT;autoSleepEndTimestampGMT;sleepQualityTypePK;sleepResultTypePK;unmeasurableSleepSeconds;deepSleepSeconds;lightSleepSeconds;remSleepSeconds;awakeSleepSeconds;deviceRemCapable;retro
1629255600000;4405865;2021-08-18;20760;0;false;off_wrist;1629255600000;1629276360000;1629262800000;1629283560000;;;;;0;0;0;0;0;true;false
1629317760000;4405865;2021-08-19;20940;0;true;manually_confirmed;1629317760000;1629345420000;1629324960000;1629352620000;1629324960000;1629361500000;;;0;7320;13620;0;6720;true;false
1629404640000;4405865;2021-08-20;26340;0;true;enhanced_confirmed_final;1629404640000;1629431100000;1629411840000;1629438300000;1629404220000;1629427560000;;;0;1800;17340;7200;120;true;false
1629495720000;4405865;2021-08-21;25560;0;true;enhanced_confirmed;1629495720000;1629521580000;1629502920000;1629528780000;1629495240000;1629532080000;;;0;2760;14940;7860;300;true;false
1629580920000;4405865;2021-08-22;29460;0;true;enhanced_confirmed_final;1629580920000;1629611400000;1629588120000;1629618600000;1629577500000;1629609300000;;;0;2940;17640;8880;1020;true;false
1629664800000;4405865;2021-08-23;27960;0;true;enhanced_confirmed_final;1629664800000;1629693300000;1629672000000;1629700500000;1629664320000;1629690900000;;;0;3600;14160;10200;540;true;false
1629758700000;4405865;2021-08-24;17820;0;true;enhanced_confirmed;1629758700000;1629777540000;1629765900000;1629784740000;1629745320000;1629777120000;;;0;1560;13320;2940;1020;true;false
1629838920000;4405865;2021-08-25;22620;0;true;enhanced_confirmed;1629838920000;1629861720000;1629846120000;1629868920000;1629835140000;1629861660000;;;0;1920;14460;6240;180;true;false
1629921900000;4405865;2021-08-26;26160;0;true;enhanced_confirmed;1629921900000;1629948060000;1629929100000;1629955260000;1629920880000;1629947640000;;;0;4140;13380;8640;0;true;false
1630013580000;4405865;2021-08-27;40200;0;true;auto_confirmed_final;1630013580000;1630054560000;1630020780000;1630061760000;1630013580000;1630054560000;;;0;25440;14760;0;780;true;false
1630101420000;4405865;2021-08-28;28380;0;true;manually_confirmed;1630101420000;1630133940000;1630108620000;1630141140000;1630105020000;1630141140000;;;0;12300;16080;0;4140;true;false
1630185720000;4405865;2021-08-29;25800;0;true;enhanced_confirmed_final;1630185720000;1630212660000;1630192920000;1630219860000;1630185600000;1630212600000;;;0;1800;16080;7920;1140;true;false
1630270140000;4405865;2021-08-30;27780;0;true;enhanced_confirmed_final;1630270140000;1630298100000;1630277340000;1630305300000;1630269900000;1630297260000;;;0;3300;15780;8700;180;true;false
1630352700000;4405865;2021-08-31;25740;0;true;enhanced_confirmed_final;1630352700000;1630379400000;1630359900000;1630386600000;1630351020000;1630379040000;;;0;0;22620;3120;960;true;false
1630439640000;4405865;2021-09-01;28860;0;true;enhanced_confirmed_final;1630439640000;1630469040000;1630446840000;1630476240000;1630438380000;1630467060000;;;0;3300;18120;7440;540;true;false
1630527720000;4405865;2021-09-02;27000;0;true;manually_confirmed;1630527720000;1630555680000;1630534920000;1630562880000;1630527720000;1630557060000;;;0;2220;15360;9420;960;true;false
1630613760000;4405865;2021-09-03;28980;0;true;enhanced_confirmed_final;1630613760000;1630642980000;1630620960000;1630650180000;1630612800000;1630638420000;;;0;3360;15420;10200;240;true;false
1630709520000;4405865;2021-09-04;20880;0;true;enhanced_confirmed_final;1630709520000;1630730400000;1630716720000;1630737600000;1630708080000;1630730400000;;;0;3480;12300;5100;0;true;false
1630792680000;4405865;2021-09-05;25320;0;true;enhanced_confirmed;1630792680000;1630818540000;1630799880000;1630825740000;1630792140000;1630831860000;;;0;2580;15240;7500;540;true;false
1630876800000;4405865;2021-09-06;25920;0;true;enhanced_confirmed_final;1630876800000;1630903020000;1630884000000;1630910220000;1630876500000;1630902660000;;;0;2040;15960;7920;300;true;false
1630963620000;4405865;2021-09-07;23940;0;true;enhanced_confirmed_final;1630963620000;1630987740000;1630970820000;1630994940000;1630962120000;1630987740000;;;0;540;14880;8520;180;true;false
1631044140000;4405865;2021-09-08;29040;0;true;enhanced_confirmed_final;1631044140000;1631074080000;1631051340000;1631081280000;1631043540000;1631072460000;;;0;1140;21540;6360;900;true;false
1631133720000;4405865;2021-09-09;26340;0;true;enhanced_confirmed_final;1631133720000;1631160120000;1631140920000;1631167320000;1631133360000;1631159760000;;;0;0;18660;7680;60;true;false
1631247360000;4405865;2021-09-10;16500;0;false;off_wrist;1631247360000;1631263860000;1631254560000;1631271060000;;;;;0;0;0;0;0;true;false
1631312700000;4405865;2021-09-11;28500;0;true;enhanced_confirmed;1631312700000;1631342280000;1631319900000;1631349480000;1631311740000;1631341620000;;;0;3540;12600;12360;1080;true;false
1631400900000;4405865;2021-09-12;24780;0;true;enhanced_confirmed;1631400900000;1631425860000;1631408100000;1631433060000;1631400240000;1631425920000;;;0;2220;14280;8280;180;true;false
1631479080000;4405865;2021-09-13;28800;0;true;enhanced_confirmed;1631479080000;1631507940000;1631486280000;1631515140000;1631479080000;1631506260000;;;0;2880;17340;8580;60;true;false
1631560860000;4405865;2021-09-14;27960;0;true;enhanced_confirmed;1631560860000;1631589000000;1631568060000;1631596200000;1631560620000;1631587080000;;;0;2160;21660;4140;180;true;false
1631669820000;4405865;2021-09-15;25500;0;false;off_wrist;1631669820000;1631695320000;1631677020000;1631702520000;;;;;0;0;0;0;0;true;false
1631742780000;4405865;2021-09-16;23940;0;true;enhanced_confirmed;1631742780000;1631766900000;1631749980000;1631774100000;1631742240000;1631770380000;;;0;2100;15240;6600;180;true;false
